# NASA PCoE Li-ion Battery Aging Dataset (public domain, US Govt). Cell B0005, one discharge cycle.
# Source: NASA Ames Prognostics Center of Excellence. 18650, ~2Ah rated, ~2A discharge, 24C ambient.
# discharge_capacity_Ah=1.8353  -> load with capacity_Ah=1.835 for a consistent coulomb reference.
time_s,current_A,voltage_V,temperature_C,soc_true
2153.719,2.01155,3.49553,33.7749,0.349082
2172.672,2.01252,3.49384,33.8227,0.343309
2191.609,2.01303,3.49164,33.8814,0.337539
2210.516,2.01294,3.48993,33.9178,0.331779
2229.437,2.01216,3.488,33.9696,0.326017
2248.422,2.01352,3.48614,34.0103,0.320232
2267.469,2.01083,3.48415,34.0641,0.314435
2286.406,2.01134,3.48261,34.1243,0.30867
2305.297,2.0115,3.48057,34.173,0.302919
2324.281,2.01349,3.47847,34.2224,0.297134
2343.359,2.01323,3.47648,34.2804,0.291321
2362.25,2.0104,3.47441,34.3255,0.285573
2381.203,2.01097,3.47237,34.3795,0.279804
2400.266,2.01059,3.47048,34.4427,0.274003
2419.234,2.01243,3.46831,34.4927,0.268226
2438.312,2.00937,3.46601,34.5604,0.262424
2457.422,2.01229,3.46381,34.6261,0.256604
2476.484,2.01166,3.46176,34.6765,0.250801
2495.625,2.01373,3.4593,34.7335,0.244967
2514.734,2.01242,3.45702,34.795,0.239147
2533.859,2.0134,3.45462,34.8596,0.233319
2552.937,2.01331,3.45211,34.9053,0.227506
2572.016,2.01266,3.44956,34.9788,0.221694
2591.125,2.01107,3.44702,35.0531,0.215878
2610.266,2.0114,3.44424,35.1183,0.210051
2629.437,2.01179,3.44155,35.1782,0.204213
2648.641,2.01275,3.43881,35.2578,0.198363
2667.766,2.01348,3.43573,35.325,0.192535
2686.906,2.01182,3.43268,35.4027,0.186707
2705.984,2.01319,3.42948,35.4593,0.180894
2725.266,2.01044,3.42603,35.5441,0.175027
2744.562,2.01238,3.42271,35.6141,0.16915
2763.812,2.00993,3.41913,35.6802,0.163294
2783.156,2.01039,3.41511,35.7602,0.157409
2802.406,2.01657,3.41131,35.8327,0.151533
2821.719,2.01098,3.40727,35.908,0.145655
2840.953,2.0114,3.40279,35.9967,0.1398
2860.344,2.01343,3.39839,36.0611,0.133891
2879.719,2.01276,3.39334,36.1358,0.127989
2899.25,2.00927,3.3878,36.2118,0.122049
2918.703,2.01169,3.38181,36.2966,0.116127
2938.156,2.01301,3.37555,36.374,0.1102
2957.469,2.01213,3.36853,36.4622,0.104319
2976.859,2.01008,3.36055,36.5406,0.09842
2996.297,2.01356,3.35177,36.6248,0.092496
3015.766,2.01429,3.34174,36.7074,0.086561
3035.281,2.01247,3.32993,36.8126,0.080617
3054.797,2.01338,3.31688,36.904,0.07467
3074.297,2.01411,3.30155,37.0211,0.068725
3093.719,2.01315,3.28436,37.1173,0.062808
3113.25,2.0122,3.2639,37.2453,0.05686
3132.875,2.01228,3.24076,37.3587,0.050883
3152.531,2.01281,3.21382,37.4739,0.044895
3172.156,2.01276,3.18274,37.594,0.038917
3191.734,2.00882,3.14681,37.7336,0.032964
3211.312,2.01169,3.10486,37.8756,0.027003
3230.953,2.01269,3.05513,38.0326,0.02102
3250.437,2.01131,2.99542,38.1842,0.015089
3270.062,2.01332,2.91804,38.3507,0.009109
3289.766,2.01467,2.8098,38.5429,0.003101
3309.422,2.01305,2.65192,38.7436,0.0
3329.281,0.00386,3.02215,38.8188,0.0
3349.109,0.00171,3.10021,38.5916,0.0
3368.937,-0.00035,3.14975,38.2899,0.0
3388.906,-0.00049,3.18399,37.98,0.0
3408.719,0.00011,3.20945,37.6611,0.0
3428.656,0.00256,3.22931,37.336,0.0
3448.641,-0.00134,3.24586,37.0194,0.0
3468.859,0.00368,3.25976,36.7279,0.0
3489.094,0.00146,3.27177,36.4048,0.0
3509.453,-0.00148,3.28204,36.1,0.0
3529.641,0.00066,3.29112,35.8142,0.0
3549.906,0.00379,3.29882,35.5345,0.0
3570.25,0.0007,3.3057,35.248,0.0
3590.594,-0.00075,3.31195,34.9787,0.0
3610.844,0.00253,3.31754,34.732,0.0
3631.203,0.00033,3.32258,34.4765,0.0
3651.641,-0.00103,3.32745,34.2328,0.0
